commenter,comment_text,likes_on_comment,bot_score,bot_decision,sentiment
asma.ounifi,💯,10,0.0303,likely authentic,neutral
lamia_issaouii,👏👏👏,2,0.041,likely authentic,neutral
vitucciax,👏👏👏👏👏,7,0.2841,likely authentic,neutral
abirbradai,😢😢,2,0.0396,likely authentic,positive
assalaarafaa,"Words that touch the heart, remind us of the importance of staying sensitive and open to our pain and the pain of others 😔🤍",1,0.0,likely authentic,positive
espero_tm,LOUDER ❤️,1,0.0084,likely authentic,neutral
almaa__abiidii,Video El tletha wouhouch Eli katlou El kalboun El saghroun as well 😭🤍🕊️🥹,4,0.0,likely authentic,positive
ahmedjnayeh,كلام هذا يلزم يقولوه مؤثرين عالميين انت ركز علي روحك و حاول توصل,53,0.0,likely authentic,neutral
rafidallo,,70,0.0014,likely authentic,neutral
2ddne,end nicki minaj again for me queen,0,0.0011,likely authentic,neutral
taba.aida,"Very well said, anger is natural human reaction to what is not natural.
Really happy to see such a post coming from a public figure like yours.
Media been always trying to re-shape what’s is ok by destroying human sensitivity little by little.
Please take care of yourself and know that fame is not only dark, it can do global transformations.
Yaatik sahha w rabbi yehmik",4,0.0,likely authentic,positive
estrella_khadi,I was soo mad that I had to uninstall instagram and stop seeing any bad news because I can't bear any more,31,0.0,likely authentic,positive
bej.sameh,"Plutôt, WHY ARENT U",1,0.0036,likely authentic,neutral
n6ruz,So Kurdistan and Iran don’t matter? Funny how you always look away when it’s their suffering.,0,0.0,likely authentic,neutral
kat.barbaros,This is exactly what they wanna do...numb us with a deluge of bad things. Happy to b angry! 😾,1,0.0,likely authentic,negative
elkhotifa__,❤️❤️❤️❤️,4,0.0301,likely authentic,neutral
sabrinafti,🩵🩵🩵🩵🩵,4,0.364,uncertain,neutral
rawia_ben_afia,تجي لتونس شهرين في العام و تنظر علينا احنا اللي عايشين فيها، ايجا استقر و عيش اللي عايشو اغلبية الشعبو بعد تكلم,150,0.0,likely authentic,neutral
manissa_lobna_officiel,Mon amouuuuurrr 😍,9,0.0613,likely authentic,positive
skander_karwi,@made.in.ifriqiya ❤️❤️❤️,1,0.0026,likely authentic,neutral
ooupsy123,هزهم لدارك مدام عايشة برا اعطيهم داركم يسكنو فيها,14,0.0002,likely authentic,neutral
rayenbrari,"Bhima barcha ken matfarra9ch binet el racism w el nationalism , educate yourself",36,0.0,likely authentic,negative
ndmgdch,لا لبيع الوطن لمن لا هوية له ، لا للتطبيع مع التوطين.,55,0.0,likely authentic,negative
soumasamiah,لا للعنصرية اي اما لا للاستيطان و التجنيس احنا لا اوروبا و لا امريكا لا احتلينا بلدان و لا فكينا ثروات و لذلك ما نجموش ندفعوا فاتورة ناس اخرى ..تونس للتوانسة فقط,78,0.0,likely authentic,positive
samarsaidii,و لا للإستيطان زادة ، sinon هابط اسكن في العامرة و إلا جبنيانة حاول حتى تكري دار غادي (كان نجمت) و مبعد اتكلّم و عبّر ….,4,0.0,likely authentic,negative
bizertine_beauty,🌶️🌶️🫀,0,0.0139,likely authentic,neutral
ooupsy123,وحدة جاية تنظر علينا بزوز كلمة قلك مش مرقة بين وطنية و عنصرية,6,0.0001,likely authentic,negative
kou_kou7,عزه عزه اخطانا من الشعارات الرنانه ، نعيش في فرنسا و شفناهم اش ينجموا يعملوا محتلين حوم حوم وحدهم فاكينهم وحتى الحاكم موش منجمهم، و ما روحوش بيهم خاطر بلادهم تبنات بخيراتهم و خيرات بلادنا و لافريك، اما في تونس والله يحتلونا والمشكل علاش الدوله ساكته ، اش كلف العنصريه و اللون، الي عندو اقامه و نضيف يخدم على روحو، الباقي يكثروا في الصغار ناس تخزر لعشره سنين لقدام والله حتى الجيش ولا ينجمهم,6,0.0,likely authentic,negative
hadjamornarimenn,فما فرق مابين العنصرية و الى صاير في تونس تواا !!! لذلك يلزم الدولة تلقى حل كيما في الاوروب و البلدان الاخرى يعملو مع المهاجرين .. ننصحك برى اهبط لتونس و اعمل دورة على سقيك في العاصمة ،صفاقس وسوسة .. وربي يحمي تونسنا المزيانة ❤️ومرحبا بكل من يحترم بلادنا و يحترمنا احنا 🙌,6,0.0,likely authentic,positive
sihem.sola,لا للعنصرية أكيد .. أما تونس لتوانسه و تونسه يلي يجيها يلزم يحترم قانونها ولازم ما يتعداش على ناسها . يا مدام يضهورلي ما فيبلكش يلي هوما  وصلو هجموا على الناس في ديارهم و فكولهم أراضيهم و عملو دوله داخل الدوله ( سرقه . قتل . دعاره . ...) فا عيش الزين خليك في مسلسلاتك و مهرجاناتك و أسكت,25,0.0,likely authentic,positive
mohamed.dahech_officiel,🔥🔥,2,0.0549,likely authentic,positive
cherifouali,❤️❤️❤️,6,0.0248,likely authentic,neutral
fares.dehbi,😍😍,1,0.065,likely authentic,positive
sabrinafti,😍😍😍,1,0.1447,likely authentic,positive
elkhotifa__,❤❤️❤️❤️,6,0.0185,likely authentic,positive
manissa_lobna_officiel,😍😍😍😍😍,5,0.465,uncertain,positive
vnwvvr,😍😍😍,2,0.1129,likely authentic,positive
_elezzi_atef_,🖤✨,2,0.0396,likely authentic,positive
syrinakoubaa,🔥🔥🔥🔥🔥,0,0.3693,uncertain,positive
nouran.77777,🔥🔥❤️❤️❤️,1,0.0119,likely authentic,positive
nouran.77777,😍❤️,1,0.0159,likely authentic,positive
pascaltaldefran,Ti malla azza 🔥❤️,1,0.0045,likely authentic,neutral
azza_slimene_fan,She’s an ICON & she knows it 💅🏻👑,17,0.0008,likely authentic,neutral
sana_zenati,Ya claude ija chouf 😂🔥😍❤️,6,0.002,likely authentic,positive
mohamed_ben_ammar1,"Merci d’avoir partagé ma musique, j’apprécie sincèrement votre soutien. 🎶",8,0.0,likely authentic,positive
medmrad_official,Ba ba ba 🔥,617,0.0,likely authentic,positive
hendsabry,👏👏👏🔥🔥,265,0.0,likely authentic,positive
sabrinafti,😍😍😍😍😍,14,0.3477,likely authentic,positive
nadsoons,😍😍😍,47,0.0199,likely authentic,positive
juliachaouachi,❤️❤️❤️❤️❤️❤️,17,0.0051,likely authentic,neutral
donia_fekii,🤍🤍🤍,25,0.0161,likely authentic,neutral
foufou_le_fou_,😍😍😍😍😍😍,3,0.3084,likely authentic,positive
mariouma.fahmitch,Manissa 🥰🥰🥰🥰,6,0.0062,likely authentic,neutral
elkhotifa__,Welcome ❤❤,10,0.0114,likely authentic,positive
rayen.chalghoumi,Waw🔥🔥,10,0.0092,likely authentic,positive
fakherbeautytunis,🔥👏😍❤️,1,0.0136,likely authentic,positive
med_amin_hmissi,❤️❤️❤️,1,0.0302,likely authentic,neutral
nasseem_ziadia,Y’a mobd3a 🔥❤️,19,0.0028,likely authentic,positive
najlabenabdallah.official,Mahla zaynek ❤️❤️,29,0.0017,likely authentic,neutral
drrimkehila,❤️❤️❤️The best ever,2,0.0038,likely authentic,positive
marwa_agrebi_,Boumbaaaaa 🔥🔥,11,0.062,likely authentic,positive
elkhotifa__,❤️❤️,3,0.0437,likely authentic,neutral
fares.dehbi,😍😍😍,1,0.1235,likely authentic,positive
cherifa_naffeti,Bellissima 🔥,1,0.0068,likely authentic,positive
naimkhelifa,😍,1,0.0552,likely authentic,positive
fouadf_pvt,My baby🔥,2,0.0096,likely authentic,positive
zoheirrouageofficiellecompte,😍,2,0.0532,likely authentic,positive
mabrouka_fall,🫠🫠🫠🫠,1,0.0376,likely authentic,neutral
yadel9076,😍😍😍🔥🔥🔥❤️❤️❤️,1,0.0118,likely authentic,positive
chayma_mandhouj,❤️❤️😍😍,1,0.0143,likely authentic,positive
khadhraouioumaima_,Queen 🔥,1,0.0106,likely authentic,positive
besbes.ali.off,😍❤️❤️,1,0.0141,likely authentic,positive
meeed_muslim,😍😍,1,0.0614,likely authentic,positive
_mayou_m_privv,Gorgeous woman,1,0.0055,likely authentic,positive
